atmoProfile,aeroProfile,GroundReflectance,AOT,band,aX,bX,cX,MeanSRRAD,MaxSRRAD,MinSRRAD,StdSRRAD,MeanSRTOA,MaxSRTOA,MinSRTOA,StdSRTOA
1,1,-1,0.0,1,0.0024600001052,0.117009997368,0.171900004148,56.9838390647,573.0,32.0,53.4718290897,210.642304632,655.0,32.0,57.019638421
1,1,-1,0.0,2,0.00224000005983,0.0800800025463,0.132719993591,53.6598468441,582.0,29.0,54.3769881621,161.827102855,655.0,29.0,59.6666004663
1,1,-1,0.0,3,0.00233000004664,0.0394899994135,0.0773900002241,64.3834257868,592.0,33.0,54.2430429311,161.434798223,643.0,33.0,60.0973101036
1,1,-1,0.0,4,0.00258999993093,0.0201699994504,0.0440399982035,51.1581561616,605.0,23.0,56.9979110732,142.084462297,671.0,23.0,65.6751905883
1,1,-1,0.0,5,0.00383000005968,0.00608000019565,0.0150600001216,290.819340081,674.0,74.0,57.2475763709,1089.78737182,762.0,74.0,68.1116048085
1,1,-1,0.0,6,0.0155300004408,0.000490000005811,0.00130000000354,137.317759901,602.0,31.0,55.2928552522,2013.46688251,689.0,31.0,64.6913954202
1,1,-1,0.0,7,0.0503199994564,0.000150000007125,0.000369999994291,67.5028785803,568.0,15.0,54.619631533,2941.89058632,587.0,15.0,57.664002119
1,1,-1,0.1,1,0.00261999992654,0.133670002222,0.185640007257,51.5940538808,594.0,25.0,56.5518220168,214.535570633,655.0,25.0,57.019638421
1,1,-1,0.1,2,0.00236999988556,0.092950001359,0.149780005217,48.4610369519,600.0,22.0,57.0862183019,162.389702307,655.0,22.0,59.6666004663
1,1,-1,0.1,3,0.00243999995291,0.0479799993336,0.0980999991298,60.6470009724,605.0,27.0,56.2775800143,161.590998497,643.0,27.0,60.0973101036
1,1,-1,0.1,4,0.00270000007004,0.0262499991804,0.0656299963593,47.9525890647,617.0,19.0,58.8745672884,142.046526918,671.0,19.0,65.6751905883
1,1,-1,0.1,5,0.00395999988541,0.00972000043839,0.0335000008345,295.535051273,684.0,73.0,58.4810680948,1099.25101662,762.0,73.0,68.1116048085
