atmoProfile	aeroProfile	GroundReflectance	AOT	band	aX	bX	cX	MeanSRRAD	MaxSRRAD	MinSRRAD	StdSRRAD	MedianSRRAD	MeanSRTOA	MaxSRTOA	MinSRTOA	StdSRTOA	MedianSRTOA	MeanSRRADG	MaxSRRADG	MinSRRADG	StdSRRADG	MedianSRRADG	MeanSRTOAG	MaxSRTOAG	MinSRTOAG	StdSRTOAG	MedianSRTOAG
1	1	-1	0.0	1	0.0024600001052	0.117009997368	0.171900004148	139.183035714	212.0	76.0	32.2855213801	139.5	359.669642857	264.0	76.0	57.6439019809	360.0	10.3109074636	987.0	0.0	53.2565673668	40.0	25.9253543898	1701.0	0.0	113.801949072	195.0
1	1	-1	0.0	2	0.00224000005983	0.0800800025463	0.132719993591	135.678571429	209.0	71.0	32.5714089912	136.0	307.397321429	241.0	71.0	57.0928769635	309.0	10.1538395247	1046.0	0.0	53.9328418728	36.0	22.4540558275	1764.0	0.0	105.072541935	149.0
1	1	-1	0.0	3	0.00233000004664	0.0394899994135	0.0773900002241	144.276785714	219.0	80.0	32.4571722817	143.0	315.0625	220.0	80.0	61.9877264997	312.5	11.1939517885	1122.0	0.0	56.8962538479	47.0	23.9691864356	2058.0	0.0	114.049025735	167.0
1	1	-1	0.0	4	0.00258999993093	0.0201699994504	0.0440399982035	132.629464286	210.0	66.0	34.289747891	132.0	327.928571429	206.0	66.0	77.8064464697	327.0	10.3016324507	1182.0	0.0	56.2162468532	33.0	25.0724024521	2574.0	0.0	130.019814779	143.0
1	1	-1	0.0	5	0.00383000005968	0.00608000019565	0.0150600001216	354.799107143	392.0	305.0	17.2378269447	356.5	1323.65178571	391.0	305.0	62.851967497	1329.5	26.0572849471	1301.0	0.0	101.035390129	265.0	96.9318424639	4637.0	0.0	374.397491298	1110.0
1	1	-1	0.0	6	0.0155300004408	0.000490000005811	0.00130000000354	203.147321429	272.0	145.0	30.4622232675	202.0	2979.66964286	258.0	145.0	445.425947597	2971.0	18.075695878	916.0	0.0	73.6419711828	117.0	264.720981063	13293.0	0.0	1077.35544139	2215.0
1	1	-1	0.0	7	0.0503199994564	0.000150000007125	0.000369999994291	136.870535714	215.0	73.0	35.3592055563	135.0	6000.71428571	188.0	73.0	1555.25395795	5926.0	11.5049267836	749.0	0.0	52.7426285311	50.0	503.899014542	32711.0	0.0	2310.22551144	3067.0
1	1	-1	0.1	1	0.00261999992654	0.133670002222	0.185640007257	139.075892857	216.0	72.0	34.2459401805	139.5	371.598214286	264.0	72.0	60.4581407465	372.0	10.2918423832	1019.0	0.0	54.5974133594	33.0	26.6848254459	1731.0	0.0	117.268469232	198.0
1	1	-1	0.1	2	0.00236999988556	0.092950001359	0.149780005217	135.03125	212.0	67.0	34.3216651987	135.0	315.147321429	241.0	67.0	59.6822740193	317.0	10.1019646658	1072.0	0.0	55.0477467007	30.0	22.9231691878	1781.0	0.0	107.527860942	149.0
1	1	-1	0.1	3	0.00243999995291	0.0479799993336	0.0980999991298	144.017857143	222.0	77.0	33.7687731235	143.0	320.959821429	220.0	77.0	63.9360952713	318.5	11.1765603833	1138.0	0.0	57.7002509805	42.0	24.3088623645	2044.0	0.0	115.598478309	167.0
1	1	-1	0.1	4	0.00270000007004	0.0262499991804	0.0656299963593	132.6250	212.0	63.0	35.5765334475	132.5	333.995535714	206.0	63.0	79.8404378482	333.0	10.2918494388	1193.0	0.0	57.0021579239	29.0	25.3498202853	2521.0	0.0	130.977125114	144.0
1	1	-1	0.1	5	0.00395999988541	0.00972000043839	0.0335000008345	360.950892857	399.0	310.0	17.6390470646	362.5	1330.82142857	391.0	310.0	61.7539348494	1336.5	26.4850034471	1309.0	0.0	102.683260617	269.0	97.0750150182	4393.0	0.0	373.4943075	1120.0
1	1	-1	0.1	6	0.0157999992371	0.00185999996029	0.0092700002715	204.964285714	274.0	146.0	30.8870143112	204.0	2956.92857143	258.0	146.0	431.720617213	2950.0	18.245494533	924.0	0.0	74.3681950426	117.0	259.50500641	12204.0	0.0	1046.82283144	2212.0
1	1	-1	0.1	7	0.0511699989438	0.000720000010915	0.00453000003472	138.5	218.0	73.0	35.930115701	136.0	5940.6875	188.0	73.0	1501.92566294	5878.0	11.6454005935	759.0	0.0	53.4316885831	50.0	489.798671643	29214.0	0.0	2201.10968726	3078.0
1	1	-1	0.2	1	0.0027799999807	0.152380004525	0.197540000081	137.008928571	219.0	66.0	36.2582491933	137.5	381.620535714	264.0	66.0	63.2641410482	382.0	10.1352522054	1049.0	0.0	55.6474322913	25.0	27.3026620557	1759.0	0.0	120.300920362	199.0
1	1	-1	0.2	2	0.00251000002027	0.107390001416	0.164389997721	133.910714286	215.0	62.0	36.1909749926	134.0	323.008928571	241.0	62.0	62.4165150329	325.0	10.0119702296	1101.0	0.0	56.2242494693	23.0	23.4023412302	1803.0	0.0	110.158698735	148.0
1	1	-1	0.2	3	0.00255999993533	0.0575300008059	0.115539997816	143.589285714	225.0	74.0	35.2376000408	142.5	327.513392857	220.0	74.0	66.2006541232	325.0	11.1495764659	1158.0	0.0	58.6298701027	37.0	24.7047074571	2044.0	0.0	117.553897642	168.0
1	1	-1	0.2	4	0.00282000005245	0.0330700017512	0.0836500003934	132.526785714	215.0	60.0	36.9206339477	132.0	340.821428571	206.0	60.0	82.2868691015	340.0	10.2807757668	1210.0	0.0	57.9450719662	25.0	25.7029224052	2493.0	0.0	132.551719281	144.0
1	1	-1	0.2	5	0.00410000002012	0.0137200001627	0.0487399995327	367.857142857	407.0	316.0	18.0482276251	369.5	1344.17857143	391.0	316.0	61.2827484297	1350.0	26.974640369	1322.0	0.0	104.592701151	273.0	97.7400390877	4231.0	0.0	374.906000488	1135.0
1	1	-1	0.2	6	0.0160900000483	0.00328000006266	0.0161400008947	207.0625	277.0	148.0	31.3452209988	206.0	2946.23660714	258.0	148.0	421.40769865	2941.0	18.4392018973	934.0	0.0	75.1991273379	118.0	256.013661544	11428.0	0.0	1025.63365339	2216.0
1	1	-1	0.2	7	0.052009999752	0.00130000000354	0.0083799995482	140.15625	221.0	74.0	36.4676673851	138.0	5889.47767857	188.0	74.0	1455.07213231	5837.0	11.783202369	769.0	0.0	54.1102091436	51.0	478.316748948	26596.0	0.0	2114.59004544	3090.0
1	1	-1	0.3	1	0.00295999995433	0.17324000597	0.207949995995	134.964285714	221.0	59.0	38.4893140484	135.5	393.392857143	264.0	59.0	66.3962478962	394.0	9.97503396739	1083.0	0.0	56.9356557674	16.0	28.0428795478	1794.0	0.0	123.842773642	201.0
1	1	-1	0.3	2	0.00265999999829	0.12364000082	0.177110001445	132.066964286	217.0	56.0	38.2440468953	132.5	330.96875	241.0	56.0	65.3945710002	333.0	9.86607574829	1131.0	0.0	57.4297462033	15.0	23.871878427	1829.0	0.0	112.893244131	147.0
1	1	-1	0.3	3	0.00270000007004	0.0682500004768	0.130640000105	143.589285714	229.0	70.0	36.9821514796	142.5	335.883928571	220.0	70.0	68.9779009041	333.5	11.1588267844	1185.0	0.0	59.8932773886	31.0	25.2322013893	2058.0	0.0	120.212980331	169.0
1	1	-1	0.3	4	0.00295000011101	0.0406999997795	0.0992399975657	132.223214286	218.0	57.0	38.4926268036	132.0	348.267857143	206.0	57.0	85.0365973885	347.5	10.2595854567	1231.0	0.0	59.0041579149	20.0	26.1088337392	2479.0	0.0	134.549373879	144.0
1	1	-1	0.3	5	0.00424000015482	0.0181499999017	0.0620599985123	374.491071429	414.0	321.0	18.4548171875	376.5	1358.48660714	391.0	321.0	60.8199171377	1364.0	27.4421359945	1337.0	0.0	106.434318358	278.0	98.50962779	4105.0	0.0	376.889455263	1150.0
1	1	-1	0.3	6	0.0163800008595	0.00474999984726	0.022290000692	209.035714286	281.0	149.0	31.8138920047	208.0	2940.21875	258.0	149.0	412.75616657	2936.0	18.6315465343	943.0	0.0	76.0298765113	118.0	253.337793107	10823.0	0.0	1009.14618265	2223.0
1	1	-1	0.3	7	0.0528800003231	0.00190000003204	0.0117800002918	141.794642857	224.0	75.0	37.0359715086	140.0	5855.98214286	188.0	75.0	1417.3148089	5812.0	11.9272049574	779.0	0.0	54.820943483	51.0	469.88407141	24679.0	0.0	2050.26105707	3107.0
