atmoProfile	aeroProfile	GroundReflectance	AOT	band	aX	bX	cX	MeanSRRAD	MaxSRRAD	MinSRRAD	StdSRRAD	MedianSRRAD	MeanSRTOA	MaxSRTOA	MinSRTOA	StdSRTOA	MedianSRTOA	MeanSRRADG	MaxSRRADG	MinSRRADG	StdSRRADG	MedianSRRADG	MeanSRTOAG	MaxSRTOAG	MinSRTOAG	StdSRTOAG	MedianSRTOAG
1	1	-1	0.0	1	0.0024600001052	0.117009997368	0.171900004148	31.8348214286	35.0	29.0	0.820736801102	32.0	165.580357143	119.0	29.0	1.50082354093	165.0	10.3109074636	987.0	0.0	53.2565673668	40.0	25.9253543898	1701.0	0.0	113.801949072	195.0
1	1	-1	0.0	2	0.00224000005983	0.0800800025463	0.132719993591	29.6071428571	32.0	27.0	0.771792242321	30.0	119.1875	92.0	27.0	1.74249026437	118.0	10.1538395247	1046.0	0.0	53.9328418728	36.0	22.4540558275	1764.0	0.0	105.072541935	149.0
1	1	-1	0.0	3	0.00233000004664	0.0394899994135	0.0773900002241	42.0625	49.0	36.0	1.70493637292	42.0	118.65625	73.0	36.0	3.27635689584	119.0	11.1939517885	1122.0	0.0	56.8962538479	47.0	23.9691864356	2058.0	0.0	114.049025735	167.0
1	1	-1	0.0	4	0.00258999993093	0.0201699994504	0.0440399982035	30.2276785714	34.0	27.0	1.1405441857	30.0	94.3883928571	47.0	27.0	2.66190873836	94.0	10.3016324507	1182.0	0.0	56.2162468532	33.0	25.0724024521	2574.0	0.0	130.019814779	143.0
1	1	-1	0.0	5	0.00383000005968	0.00608000019565	0.0150600001216	264.008928571	336.0	197.0	18.9237169483	263.0	992.111607143	335.0	197.0	69.2032529757	987.0	26.0572849471	1301.0	0.0	101.035390129	265.0	96.9318424639	4637.0	0.0	374.397491298	1110.0
1	1	-1	0.0	6	0.0155300004408	0.000490000005811	0.00130000000354	114.325892857	148.0	83.0	9.02160349162	113.5	1677.07142857	140.0	83.0	132.564419265	1659.0	18.075695878	916.0	0.0	73.6419711828	117.0	264.720981063	13293.0	0.0	1077.35544139	2215.0
1	1	-1	0.0	7	0.0503199994564	0.000150000007125	0.000369999994291	48.2544642857	63.0	36.0	3.8140339629	48.0	2093.57589286	54.0	36.0	168.669884551	2113.0	11.5049267836	749.0	0.0	52.7426285311	50.0	503.899014542	32711.0	0.0	2310.22551144	3067.0
1	1	-1	0.1	1	0.00261999992654	0.133670002222	0.185640007257	24.8750	28.0	22.0	0.862150550327	25.0	166.665178571	119.0	22.0	1.42660998158	166.0	10.2918423832	1019.0	0.0	54.5974133594	33.0	26.6848254459	1731.0	0.0	117.268469232	198.0
1	1	-1	0.1	2	0.00236999988556	0.092950001359	0.149780005217	23.0714285714	26.0	21.0	0.847415036979	23.0	117.834821429	92.0	21.0	1.40929375812	117.0	10.1019646658	1072.0	0.0	55.0477467007	30.0	22.9231691878	1781.0	0.0	107.527860942	149.0
1	1	-1	0.1	3	0.00243999995291	0.0479799993336	0.0980999991298	37.3839285714	44.0	31.0	1.80646426418	37.0	117.366071429	73.0	31.0	3.49615997436	118.0	11.1765603833	1138.0	0.0	57.7002509805	42.0	24.3088623645	2044.0	0.0	115.598478309	167.0
1	1	-1	0.1	4	0.00270000007004	0.0262499991804	0.0656299963593	26.2321428571	30.0	22.0	1.18005858554	26.0	93.0491071429	47.0	22.0	2.83509559979	93.0	10.2918494388	1193.0	0.0	57.0021579239	29.0	25.3498202853	2521.0	0.0	130.977125114	144.0
1	1	-1	0.1	5	0.00395999988541	0.00972000043839	0.0335000008345	268.160714286	341.0	200.0	19.3554872117	267.0	1002.97321429	335.0	200.0	68.8338397651	998.0	26.4850034471	1309.0	0.0	102.683260617	269.0	97.0750150182	4393.0	0.0	373.4943075	1120.0
1	1	-1	0.1	6	0.0157999992371	0.00185999996029	0.0092700002715	114.848214286	149.0	83.0	9.18481843415	114.0	1681.77678571	140.0	83.0	131.17312101	1664.0	18.245494533	924.0	0.0	74.3681950426	117.0	259.50500641	12204.0	0.0	1046.82283144	2212.0
1	1	-1	0.1	7	0.0511699989438	0.000720000010915	0.00453000003472	48.4553571429	63.0	36.0	3.86118133491	48.0	2109.5625	54.0	36.0	168.394826293	2129.0	11.6454005935	759.0	0.0	53.4316885831	50.0	489.798671643	29214.0	0.0	2201.10968726	3078.0
1	1	-1	0.2	1	0.0027799999807	0.152380004525	0.197540000081	15.8526785714	19.0	13.0	0.906667743269	16.0	166.598214286	119.0	13.0	1.57525406924	166.0	10.1352522054	1049.0	0.0	55.6474322913	25.0	27.3026620557	1759.0	0.0	120.300920362	199.0
1	1	-1	0.2	2	0.00251000002027	0.107390001416	0.164389997721	15.4553571429	18.0	13.0	0.88022311353	15.0	115.794642857	92.0	13.0	1.50082354093	115.0	10.0119702296	1101.0	0.0	56.2242494693	23.0	23.4023412302	1803.0	0.0	110.158698735	148.0
1	1	-1	0.2	3	0.00255999993533	0.0575300008059	0.115539997816	31.9910714286	39.0	25.0	1.87080738736	32.0	115.75	73.0	25.0	3.4833789015	116.0	11.1495764659	1158.0	0.0	58.6298701027	37.0	24.7047074571	2044.0	0.0	117.553897642	168.0
1	1	-1	0.2	4	0.00282000005245	0.0330700017512	0.0836500003934	21.6875	25.0	18.0	1.25378890055	22.0	91375	47.0	18.0	2.72758723836	91.0	10.2807757668	1210.0	0.0	57.9450719662	25.0	25.7029224052	2493.0	0.0	132.551719281	144.0
1	1	-1	0.2	5	0.00410000002012	0.0137200001627	0.0487399995327	272.808035714	348.0	203.0	19.8805299512	272.0	1017.67857143	335.0	203.0	68.9227976856	1013.0	26.974640369	1322.0	0.0	104.592701151	273.0	97.7400390877	4231.0	0.0	374.906000488	1135.0
1	1	-1	0.2	6	0.0160900000483	0.00328000006266	0.0161400008947	115.464285714	150.0	83.0	9.34261412965	115.0	1690.79464286	140.0	83.0	130.345189949	1673.0	18.4392018973	934.0	0.0	75.1991273379	118.0	256.013661544	11428.0	0.0	1025.63365339	2216.0
1	1	-1	0.2	7	0.052009999752	0.00130000000354	0.0083799995482	48.6250	64.0	36.0	3.91568503403	49.0	2125.57589286	54.0	36.0	168.290070449	2145.0	11.783202369	769.0	0.0	54.1102091436	51.0	478.316748948	26596.0	0.0	2114.59004544	3090.0
1	1	-1	0.3	1	0.00295999995433	0.17324000597	0.207949995995	5.87946428571	9.0	2.0	0.994954987573	6.0	166.03125	119.0	2.0	1.8645916467	165.0	9.97503396739	1083.0	0.0	56.9356557674	16.0	28.0428795478	1794.0	0.0	123.842773642	201.0
1	1	-1	0.3	2	0.00265999999829	0.12364000082	0.177110001445	6.54464285714	10.0	4.0	0.92955819822	7.0	112.799107143	92.0	4.0	1.52063165539	112.0	9.86607574829	1131.0	0.0	57.4297462033	15.0	23.871878427	1829.0	0.0	112.893244131	147.0
1	1	-1	0.3	3	0.00270000007004	0.0682500004768	0.130640000105	26.1517857143	34.0	19.0	2.00539371548	26.0	114.352678571	73.0	19.0	3.89088816113	115.0	11.1588267844	1185.0	0.0	59.8932773886	31.0	25.2322013893	2058.0	0.0	120.212980331	169.0
1	1	-1	0.3	4	0.00295000011101	0.0406999997795	0.0992399975657	16.53125	20.0	12.0	1.27086382672	17.0	89.1205357143	47.0	12.0	2.97290257375	89.0	10.2595854567	1231.0	0.0	59.0041579149	20.0	26.1088337392	2479.0	0.0	134.549373879	144.0
1	1	-1	0.3	5	0.00424000015482	0.0181499999017	0.0620599985123	277.107142857	354.0	205.0	20.3649107986	276.0	1032.62946429	335.0	205.0	69.0899467289	1028.0	27.4421359945	1337.0	0.0	106.434318358	278.0	98.50962779	4105.0	0.0	376.889455263	1150.0
1	1	-1	0.3	6	0.0163800008595	0.00474999984726	0.022290000692	115.973214286	151.0	83.0	9.45804629236	115.0	1701.07589286	140.0	83.0	129.79791487	1683.0	18.6315465343	943.0	0.0	76.0298765113	118.0	253.337793107	10823.0	0.0	1009.14618265	2223.0
1	1	-1	0.3	7	0.0528800003231	0.00190000003204	0.0117800002918	48.8482142857	64.0	36.0	4.02716184496	49.0	2144.26339286	54.0	36.0	168.493793069	2164.0	11.9272049574	779.0	0.0	54.820943483	51.0	469.88407141	24679.0	0.0	2050.26105707	3107.0
1	1	-1	0.4	1	0.00316000008024	0.196439996362	0.21713000536	1.0	1.0	1.0	0.0	1.0	165.964285714	119.0	1.0	1.9929723469	165.0	9.79640580651	1120.0	0.0	58.4326251773	5.0	28.8543368396	1832.0	0.0	127.747539688	203.0
1	1	-1	0.4	2	0.00282000005245	0.141680002213	0.18830999732	1.0	1.0	1.0	0.0	1.0	109.1875	92.0	1.0	1.92275495244	108.0	9.6643285947	1163.0	0.0	58.6765464265	5.0	24.3388569822	1858.0	0.0	115.718725953	146.0
1	1	-1	0.4	3	0.00283999997191	0.0801699981093	0.143920004368	19.1116071429	27.0	12.0	2.08973877109	19.0	111.758928571	73.0	12.0	4.11605206069	112.0	11.0870734421	1211.0	0.0	60.9832247957	25.0	25.679580155	2072.0	0.0	122.642804312	169.0
1	1	-1	0.4	4	0.00307999993674	0.0491200014949	0.112970001996	10.6517857143	15.0	6.0	1.35758334017	11.0	87.0625	47.0	6.0	3.12044310613	87.0	10.1856378411	1251.0	0.0	59.9671598018	14.0	26.4656254032	2471.0	0.0	136.460111123	144.0
1	1	-1	0.4	5	0.00438999990001	0.0231199990958	0.0740500018001	281.553571429	361.0	207.0	20.9648256806	280.0	1049.48214286	335.0	207.0	69.4526408712	1045.0	27.9411084054	1354.0	0.0	108.414171132	282.0	99.507981833	4008.0	0.0	379.848632396	1167.0
1	1	-1	0.4	6	0.0166800003499	0.00627999985591	0.0278999991715	116.642857143	153.0	83.0	9.66894618912	116.0	1712.96875	140.0	83.0	129.383130891	1695.0	18.8327428517	954.0	0.0	76.9015954538	119.0	251.35036709	10336.0	0.0	996.364054477	2232.0
1	1	-1	0.4	7	0.0537599995732	0.00252000009641	0.0148700000718	49.0758928571	65.0	36.0	4.09905793915	49.0	2163.70982143	54.0	36.0	168.864010936	2183.0	12.0724735115	789.0	0.0	55.5406811883	51.0	463.271757777	23181.0	0.0	1999.32521014	3126.0
1	1	-1	0.5	1	0.00337999989279	0.22214999795	0.225290000439	1.0	1.0	1.0	0.0	1.0	165.959821429	119.0	1.0	2.00961793728	165.0	9.58603174187	1161.0	0.0	60.1183894038	1.0	29.737789378	1874.0	0.0	131.973810865	205.0
