atmoProfile,aeroProfile,GroundReflectance,AOT,band,aX,bX,cX,MeanSRRAD,MaxSRRAD,MinSRRAD,StdSRRAD,MeanSRTOA,MaxSRTOA,MinSRTOA,StdSRTOA
1,1,-1,0.0,1,0.0024600001052,0.117009997368,0.171900004148,83.0525759649,591.0,37.0,86.1883961046,256.911527938,572.0,37.0,31.3533033323
1,1,-1,0.0,2,0.00224000005983,0.0800800025463,0.132719993591,79.4435951901,602.0,34.0,86.7998452461,206.95500432,565.0,34.0,32.3451852987
1,1,-1,0.0,3,0.00233000004664,0.0394899994135,0.0773900002241,93.8923585109,627.0,39.0,85.7827660219,217.696633785,556.0,39.0,32.6184066019
1,1,-1,0.0,4,0.00258999993093,0.0201699994504,0.0440399982035,78.809328197,645.0,27.0,89.9022056293,204.664724942,577.0,27.0,35.6649436816
1,1,-1,0.0,5,0.00383000005968,0.00608000019565,0.0150600001216,348.123711118,751.0,49.0,69.9787089607,1298.62683972,721.0,49.0,47.3228404167
1,1,-1,0.0,6,0.0155300004408,0.000490000005811,0.00130000000354,185.379001656,682.0,10.0,84.3116652639,2717.55791331,636.0,10.0,45.7226985468
1,1,-1,0.0,7,0.0503199994564,0.000150000007125,0.000369999994291,102.324753384,677.0,6.0,88.5096093193,4473.48401138,524.0,6.0,37.7665351967
1,1,-1,0.1,1,0.00261999992654,0.133670002222,0.185640007257,79.2261214718,612.0,30.0,91.1876159846,263.026218678,572.0,30.0,31.3533033323
1,1,-1,0.1,2,0.00236999988556,0.092950001359,0.149780005217,75.5927365351,620.0,27.0,91.159884647,209.426027866,565.0,27.0,32.3451852987
1,1,-1,0.1,3,0.00243999995291,0.0479799993336,0.0980999991298,91.3522753456,641.0,34.0,89.0171388559,219.627197941,556.0,34.0,32.6184066019
1,1,-1,0.1,4,0.00270000007004,0.0262499991804,0.0656299963593,76.5845604119,657.0,23.0,92.8920169751,206.156320204,577.0,23.0,35.6649436816
1,1,-1,0.1,5,0.00395999988541,0.00972000043839,0.0335000008345,354.033498344,762.0,47.0,71.2751210822,1305.10291619,721.0,47.0,47.3228404167
1,1,-1,0.1,6,0.0157999992371,0.00185999996029,0.0092700002715,186.888871688,689.0,9.0,85.3967847778,2692.22916007,636.0,9.0,45.7226985468
1,1,-1,0.1,7,0.0511699989438,0.000720000010915,0.00453000003472,103.391206437,686.0,6.0,89.842975486,4404.65742548,524.0,6.0,37.7665351967
1,1,-1,0.2,1,0.0027799999807,0.152380004525,0.197540000081,73.4111445132,632.0,21.0,96.2463885552,267.150298819,572.0,21.0,31.3533033323
1,1,-1,0.2,2,0.00251000002027,0.107390001416,0.164389997721,70.9098952333,640.0,20.0,95.9210242011,211.679394081,565.0,20.0,32.3451852987
1,1,-1,0.2,3,0.00255999993533,0.0575300008059,0.115539997816,88.366499856,656.0,29.0,92.6581270536,221.708269729,556.0,29.0,32.6184066019
1,1,-1,0.2,4,0.00282000005245,0.0330700017512,0.0836500003934,74.0380670363,671.0,18.0,96.2804875707,207.912166979,577.0,18.0,35.6649436816
1,1,-1,0.2,5,0.00410000002012,0.0137200001627,0.0487399995327,360.722686852,776.0,45.0,72.8353432265,1317.75413486,721.0,45.0,47.3228404167
1,1,-1,0.2,6,0.0160900000483,0.00328000006266,0.0161400008947,188.619254032,697.0,7.0,86.6220670838,2679.14452045,636.0,7.0,45.7226985468
