atmoProfile	aeroProfile	GroundReflectance	AOT	band	aX	bX	cX	MeanSRRAD	MaxSRRAD	MinSRRAD	StdSRRAD	MedianSRRAD	MeanSRTOA	MaxSRTOA	MinSRTOA	StdSRTOA	MedianSRTOA	MeanSRRADG	MaxSRRADG	MinSRRADG	StdSRRADG	MedianSRRADG	MeanSRTOAG	MaxSRTOAG	MinSRTOAG	StdSRTOAG	MedianSRTOAG
1	1	-1	0.0	1	0.00252999993972	0.0798000022769	0.129179999232	18.7685456718	29.0	0.0	5.00189787839	20.0	123.567394374	90.0	0.0	1.88076077443	131.0	61.4298209531	338.0	0.0	99.3038453785	20.0	187.423326237	766.0	0.0	219.18728784	136.0
1	1	-1	0.0	2	0.00264999992214	0.0390800014138	0.0741799995303	34.5511024221	53.0	0.0	9.43160171591	36.0	124.650483328	79.0	0.0	3.68742454095	130.0	93.6465927075	802.0	0.0	170.513914732	36.0	240.464810256	1750.0	0.0	374.614221859	138.0
1	1	-1	0.0	3	0.00295999995433	0.0203300006688	0.043140001595	26.3319213642	40.0	0.0	7.06308866543	28.0	100.891278375	51.0	0.0	2.86536378776	107.0	87.8797844236	710.0	0.0	161.852732635	28.0	252.7142508	1848.0	0.0	422.172198778	116.0
1	1	-1	0.0	4	0.00447000004351	0.00832999963313	0.017669999972	272.454545455	398.0	0.0	71.9794199671	286.0	1110.90159661	336.0	0.0	26.3058207871	1166.0	233.521649229	964.0	0.0	210.052571512	282.0	943.348660026	3742.0	0.0	829.852391557	1089.0
1	1	-1	0.0	5	0.0218800008297	0.000500000023749	0.00112999998964	124.71836646	181.0	0.0	32.8640255529	132.0	2422.56772021	154.0	0.0	11.7280580243	2553.0	143.987185888	687.0	0.0	144.681600698	132.0	2791.01934703	13234.0	0.0	2796.40674394	2553.0
1	1	-1	0.0	6	0.0599699988961	0.000159999995958	0.000369999994291	44.4270663626	75.0	0.0	12.347687327	47.0	2280.51678071	64.0	0.0	5.38076949254	2398.0	81.9388429043	873.0	0.0	112.166484911	47.0	4218.29221304	44648.0	0.0	5777.69176014	2637.0
1	1	-1	0.1	1	0.00268999999389	0.0938500016928	0.146500006318	11.5279678505	22.0	0.0	3.52394943859	13.0	123.097317259	90.0	0.0	1.88076077443	131.0	58.9375779785	349.0	0.0	103.484620355	13.0	191.137626231	791.0	0.0	226.838089857	136.0
1	1	-1	0.1	2	0.00279999990016	0.0481900013983	0.0950099974871	29.8097100033	49.0	0.0	8.52935699199	31.0	124.980341045	79.0	0.0	3.68742454095	130.0	93.1182551246	824.0	0.0	176.109463923	31.0	244.233360757	1763.0	0.0	380.052628021	139.0
1	1	-1	0.1	3	0.00310000008903	0.0268500000238	0.0646900013089	21.9131095905	36.0	0.0	6.30259116041	23.0	100.495383947	51.0	0.0	2.86536378776	107.0	87.2406164171	726.0	0.0	166.258586576	23.0	254.971170996	1847.0	0.0	424.470638769	116.0
1	1	-1	0.1	4	0.00463999994099	0.0125099997967	0.0367499999702	277.367546432	406.0	0.0	73.3815166678	291.0	1122.479092	336.0	0.0	26.3058207871	1179.0	237.629947184	978.0	0.0	213.74379073	287.0	944.611179495	3605.0	0.0	815.59719212	1102.0
1	1	-1	0.1	5	0.022309999913	0.00173999997787	0.00855999998748	125.91202346	183.0	0.0	33.2259049893	133.0	2421.48191593	154.0	0.0	11.7280580243	2553.0	145.645743318	696.0	0.0	146.627272026	133.0	2730.65438427	12260.0	0.0	2662.0192334	2553.0
